City,State/Province,Country/Retion,Latitude,Longitude,Class Year,Class Year Date
Beijing,,China,,,2010,1/1/2010
Beijing,,China,,,2010,1/1/2010
Beijing,,China,,,2010,1/1/2010
Beijing,,China,,,2011,1/1/2011
Beijing,,China,,,2011,1/1/2011
Beijing,,China,,,2011,1/1/2011
Beijing,,China,,,2011,1/1/2011
Beijing,,China,,,2011,1/1/2011
Beijing,,China,,,2012,1/1/2012
Beijing,,China,,,2012,1/1/2012
Beijing,,China,,,2012,1/1/2012
Beijing,,China,,,2013,1/1/2013
Beijing,,China,,,2013,1/1/2013
Beijing,,China,,,2013,1/1/2013
Beijing,,China,,,2013,1/1/2013
Beijing,,China,,,2013,1/1/2013
Beijing,,China,,,2014,1/1/2014
Beijing,,China,,,2014,1/1/2014
Beijing,,China,,,2014,1/1/2014
Beijing,,China,,,2015,1/1/2015
Beijing,,China,,,2016,1/1/2016
Beijing,,China,,,2016,1/1/2016
Beijing,,China,,,2016,1/1/2016
Beijing,,China,,,2016,1/1/2016
Beijing,,China,,,2016,1/1/2016
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2017,1/1/2017
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2018,1/1/2018
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2019,1/1/2019
Beijing,,China,,,2020,1/1/2020
Beijing,,China,,,2020,1/1/2020
Beijing,,China,,,2020,1/1/2020
Beijing City,,China,,,2015,1/1/2015
Beijing City,,China,,,2015,1/1/2015
Beijing City,,China,,,2015,1/1/2015
Changpingqu,,China,,,2014,1/1/2014
Changsha,,China,,,2004,1/1/2004
Changsha,,China,,,2009,1/1/2009
Changsha,,China,,,2011,1/1/2011
Changsha,,China,,,2016,1/1/2016
Changsha,,China,,,2019,1/1/2019
Changsha City,,China,,,2015,1/1/2015
Chengdu,,China,,,2011,1/1/2011
Chengdu,,China,,,2013,1/1/2013
Chengdu,,China,,,2015,1/1/2015
Chengdu,,China,,,2016,1/1/2016
Chengdu,,China,,,2017,1/1/2017
Chengdu,,China,,,2017,1/1/2017
Chengdu,,China,,,2018,1/1/2018
Chengdu,,China,,,2019,1/1/2019
Chengdu,,China,,,2020,1/1/2020
Chengdu Shi,,China,,,2015,1/1/2015
Chengdu Sichuan,,China,,,2005,1/1/2005
Chenyang City,,China,,,2015,1/1/2015
Chenzhou,,China,,,2014,1/1/2014
Chongqing,,China,,,2007,1/1/2007
Chongqing,,China,,,2016,1/1/2016
Chongqing,,China,,,2016,1/1/2016
Cixi,,China,,,2015,1/1/2015
Dalian,,China,,,2013,1/1/2013
Dalian,,China,,,2016,1/1/2016
Dong,,China,,,2000,1/1/2000
Erqi Qu,,China,,,2012,1/1/2012
Fenyang,,China,,,2017,1/1/2017
Foshan,,China,,,2018,1/1/2018
Foshan,,China,,,2018,1/1/2018
Guangzhou,,China,,,2012,1/1/2012
Guangzhou,,China,,,2015,1/1/2015
Guangzhou,,China,,,2017,1/1/2017
Guangzhou,,China,,,2017,1/1/2017
Guangzhou,,China,,,2018,1/1/2018
Guangzhou,,China,,,2018,1/1/2018
Guangzhou,,China,,,2018,1/1/2018
Guangzhou,,China,,,2020,1/1/2020
Guilin,,China,,,2020,1/1/2020
Haerbin,,China,,,2014,1/1/2014
Hangzhou,,China,,,2007,1/1/2007
Hangzhou,,China,,,2009,1/1/2009
Hangzhou,,China,,,2012,1/1/2012
Hangzhou,,China,,,2013,1/1/2013
Hangzhou,,China,,,2013,1/1/2013
Hangzhou,,China,,,2014,1/1/2014
Hangzhou,,China,,,2018,1/1/2018
Hangzhou,,China,,,2020,1/1/2020
Hangzhou City,,China,,,2011,1/1/2011
Harbin,,China,,,2015,1/1/2015
Hefei,,China,,,2016,1/1/2016
Hefei,,China,,,2017,1/1/2017
Hefei,,China,,,2018,1/1/2018
Hefei,,China,,,2020,1/1/2020
Hefei City,,China,,,2015,1/1/2015
Hefei Shi,,China,,,2020,1/1/2020
Hong Kong,,China,,,2002,1/1/2002
Hong Kong,,China,,,2002,1/1/2002
Hong Kong,,China,,,2002,1/1/2002
Hong Kong,,China,,,2003,1/1/2003
Hong Kong,,China,,,2003,1/1/2003
Hong Kong,,China,,,2015,1/1/2015
Hong Kong,,China,,,2015,1/1/2015
Hongshan District,Wuhan,China,,,2009,1/1/2009
Hunan,,China,,,2002,1/1/2002
ina Shenzhen,,China,,,2018,1/1/2018
Jiande,,China,,,2016,1/1/2016
Jiang Xi,,China,,,2002,1/1/2002
Jiangsu,,China,,,2019,1/1/2019
Jiangsu,,China,,,2020,1/1/2020
Jiangyin,,China,,,2008,1/1/2008
Jiangyin,,China,,,2015,1/1/2015
Jiaxing,,China,,,2016,1/1/2016
Jinan,,China,,,2009,1/1/2009
Jinan,,China,,,2010,1/1/2010
